paper,full_paper_name,year_published,journal,authors,doi,abstract,arxiv_url,pdf_url,primary_category,pdf_path,dataset_name,dataset_type,official_path,events_total (from text),events_used (from text),collision_energy_tev,generator,size_bytes,luminosity,shortened_paper_name,notes
2403.08907,The terascale tutorial,2024,,Konstantinos Theofilatos,,"This note summarizes the lectures given in the tutorial session of the Introduction to the Terascale school at DESY on March 2023. The target audience are advanced bachelor and master physics students. The tutorial aims to best prepare the students for starting an LHC experimental physics thesis. The cross section of the top quark pair production is detailed alongside with the reconstruction of the invariant masses of the top quark as well as of the $W$ and $Z$ bosons. The tutorial uses ideas and CMS open data files from the CMS HEP Tutorial written by C. Sander and A. Schmidt, but is entirely rewritten so that it can be run in Google Colab Cloud in a columnar style of analysis with python. In addition, a minimal C/C++ version of a simple event-loop analysis relying on ROOT is exampled. The code is kept as short as possible with emphasis on the transparency of the analysis steps, rather than the elegance of the software, having in mind that the students will in any case need to rewrite their own custom analysis framework.",http://arxiv.org/abs/2403.08907,https://arxiv.org/pdf/2403.08907v1,hep-ex,pdfs\2403.08907.pdf,CMS 2010 Muon data,data,,,469384,7,,,50/pb,Terascale Tutorial CMS Open Data,Single muon trigger selection; used in CMS HEP Tutorial; files available at http://theofil.web.cern.ch/theofil/cmsod/files/
2403.08907,The terascale tutorial,2024,,Konstantinos Theofilatos,,"This note summarizes the lectures given in the tutorial session of the Introduction to the Terascale school at DESY on March 2023. The target audience are advanced bachelor and master physics students. The tutorial aims to best prepare the students for starting an LHC experimental physics thesis. The cross section of the top quark pair production is detailed alongside with the reconstruction of the invariant masses of the top quark as well as of the $W$ and $Z$ bosons. The tutorial uses ideas and CMS open data files from the CMS HEP Tutorial written by C. Sander and A. Schmidt, but is entirely rewritten so that it can be run in Google Colab Cloud in a columnar style of analysis with python. In addition, a minimal C/C++ version of a simple event-loop analysis relying on ROOT is exampled. The code is kept as short as possible with emphasis on the transparency of the analysis steps, rather than the elegance of the software, having in mind that the students will in any case need to rewrite their own custom analysis framework.",http://arxiv.org/abs/2403.08907,https://arxiv.org/pdf/2403.08907v1,hep-ex,pdfs\2403.08907.pdf,TTbar MC,mc,,,36941,7,,,50/pb,Terascale Tutorial CMS Open Data,Cross section 165 pb; 7928.6 weighted events; includes events with triggerIsoMu24 false; from CMS HEP Tutorial
2403.08907,The terascale tutorial,2024,,Konstantinos Theofilatos,,"This note summarizes the lectures given in the tutorial session of the Introduction to the Terascale school at DESY on March 2023. The target audience are advanced bachelor and master physics students. The tutorial aims to best prepare the students for starting an LHC experimental physics thesis. The cross section of the top quark pair production is detailed alongside with the reconstruction of the invariant masses of the top quark as well as of the $W$ and $Z$ bosons. The tutorial uses ideas and CMS open data files from the CMS HEP Tutorial written by C. Sander and A. Schmidt, but is entirely rewritten so that it can be run in Google Colab Cloud in a columnar style of analysis with python. In addition, a minimal C/C++ version of a simple event-loop analysis relying on ROOT is exampled. The code is kept as short as possible with emphasis on the transparency of the analysis steps, rather than the elegance of the software, having in mind that the students will in any case need to rewrite their own custom analysis framework.",http://arxiv.org/abs/2403.08907,https://arxiv.org/pdf/2403.08907v1,hep-ex,pdfs\2403.08907.pdf,WJets MC,mc,,,109737,7,,,50/pb,Terascale Tutorial CMS Open Data,Cross section 31300 pb; 209576.7 weighted events; triggerIsoMu24 always true; from CMS HEP Tutorial
2403.08907,The terascale tutorial,2024,,Konstantinos Theofilatos,,"This note summarizes the lectures given in the tutorial session of the Introduction to the Terascale school at DESY on March 2023. The target audience are advanced bachelor and master physics students. The tutorial aims to best prepare the students for starting an LHC experimental physics thesis. The cross section of the top quark pair production is detailed alongside with the reconstruction of the invariant masses of the top quark as well as of the $W$ and $Z$ bosons. The tutorial uses ideas and CMS open data files from the CMS HEP Tutorial written by C. Sander and A. Schmidt, but is entirely rewritten so that it can be run in Google Colab Cloud in a columnar style of analysis with python. In addition, a minimal C/C++ version of a simple event-loop analysis relying on ROOT is exampled. The code is kept as short as possible with emphasis on the transparency of the analysis steps, rather than the elegance of the software, having in mind that the students will in any case need to rewrite their own custom analysis framework.",http://arxiv.org/abs/2403.08907,https://arxiv.org/pdf/2403.08907v1,hep-ex,pdfs\2403.08907.pdf,DYJets MC,mc,,,77729,7,,,50/pb,Terascale Tutorial CMS Open Data,Cross section 15800 pb; 34113.2 weighted events; triggerIsoMu24 always true; from CMS HEP Tutorial
2403.08907,The terascale tutorial,2024,,Konstantinos Theofilatos,,"This note summarizes the lectures given in the tutorial session of the Introduction to the Terascale school at DESY on March 2023. The target audience are advanced bachelor and master physics students. The tutorial aims to best prepare the students for starting an LHC experimental physics thesis. The cross section of the top quark pair production is detailed alongside with the reconstruction of the invariant masses of the top quark as well as of the $W$ and $Z$ bosons. The tutorial uses ideas and CMS open data files from the CMS HEP Tutorial written by C. Sander and A. Schmidt, but is entirely rewritten so that it can be run in Google Colab Cloud in a columnar style of analysis with python. In addition, a minimal C/C++ version of a simple event-loop analysis relying on ROOT is exampled. The code is kept as short as possible with emphasis on the transparency of the analysis steps, rather than the elegance of the software, having in mind that the students will in any case need to rewrite their own custom analysis framework.",http://arxiv.org/abs/2403.08907,https://arxiv.org/pdf/2403.08907v1,hep-ex,pdfs\2403.08907.pdf,WW MC,mc,,,4580,7,,,50/pb,Terascale Tutorial CMS Open Data,Cross section 4580 pb; 229.9 weighted events; triggerIsoMu24 always true; from CMS HEP Tutorial
2403.08907,The terascale tutorial,2024,,Konstantinos Theofilatos,,"This note summarizes the lectures given in the tutorial session of the Introduction to the Terascale school at DESY on March 2023. The target audience are advanced bachelor and master physics students. The tutorial aims to best prepare the students for starting an LHC experimental physics thesis. The cross section of the top quark pair production is detailed alongside with the reconstruction of the invariant masses of the top quark as well as of the $W$ and $Z$ bosons. The tutorial uses ideas and CMS open data files from the CMS HEP Tutorial written by C. Sander and A. Schmidt, but is entirely rewritten so that it can be run in Google Colab Cloud in a columnar style of analysis with python. In addition, a minimal C/C++ version of a simple event-loop analysis relying on ROOT is exampled. The code is kept as short as possible with emphasis on the transparency of the analysis steps, rather than the elegance of the software, having in mind that the students will in any case need to rewrite their own custom analysis framework.",http://arxiv.org/abs/2403.08907,https://arxiv.org/pdf/2403.08907v1,hep-ex,pdfs\2403.08907.pdf,WZ MC,mc,,,3367,7,,,50/pb,Terascale Tutorial CMS Open Data,Cross section 3367 pb; 69.9 weighted events; triggerIsoMu24 always true; from CMS HEP Tutorial
2403.08907,The terascale tutorial,2024,,Konstantinos Theofilatos,,"This note summarizes the lectures given in the tutorial session of the Introduction to the Terascale school at DESY on March 2023. The target audience are advanced bachelor and master physics students. The tutorial aims to best prepare the students for starting an LHC experimental physics thesis. The cross section of the top quark pair production is detailed alongside with the reconstruction of the invariant masses of the top quark as well as of the $W$ and $Z$ bosons. The tutorial uses ideas and CMS open data files from the CMS HEP Tutorial written by C. Sander and A. Schmidt, but is entirely rewritten so that it can be run in Google Colab Cloud in a columnar style of analysis with python. In addition, a minimal C/C++ version of a simple event-loop analysis relying on ROOT is exampled. The code is kept as short as possible with emphasis on the transparency of the analysis steps, rather than the elegance of the software, having in mind that the students will in any case need to rewrite their own custom analysis framework.",http://arxiv.org/abs/2403.08907,https://arxiv.org/pdf/2403.08907v1,hep-ex,pdfs\2403.08907.pdf,ZZ MC,mc,,,2421,7,,,50/pb,Terascale Tutorial CMS Open Data,Cross section 2421 pb; 16.9 weighted events; triggerIsoMu24 always true; from CMS HEP Tutorial
2403.08907,The terascale tutorial,2024,,Konstantinos Theofilatos,,"This note summarizes the lectures given in the tutorial session of the Introduction to the Terascale school at DESY on March 2023. The target audience are advanced bachelor and master physics students. The tutorial aims to best prepare the students for starting an LHC experimental physics thesis. The cross section of the top quark pair production is detailed alongside with the reconstruction of the invariant masses of the top quark as well as of the $W$ and $Z$ bosons. The tutorial uses ideas and CMS open data files from the CMS HEP Tutorial written by C. Sander and A. Schmidt, but is entirely rewritten so that it can be run in Google Colab Cloud in a columnar style of analysis with python. In addition, a minimal C/C++ version of a simple event-loop analysis relying on ROOT is exampled. The code is kept as short as possible with emphasis on the transparency of the analysis steps, rather than the elegance of the software, having in mind that the students will in any case need to rewrite their own custom analysis framework.",http://arxiv.org/abs/2403.08907,https://arxiv.org/pdf/2403.08907v1,hep-ex,pdfs\2403.08907.pdf,SingleTop MC,mc,,,5684,7,,,50/pb,Terascale Tutorial CMS Open Data,Cross section 5684 pb; 311.6 weighted events; triggerIsoMu24 always true; from CMS HEP Tutorial
2403.08907,The terascale tutorial,2024,,Konstantinos Theofilatos,,"This note summarizes the lectures given in the tutorial session of the Introduction to the Terascale school at DESY on March 2023. The target audience are advanced bachelor and master physics students. The tutorial aims to best prepare the students for starting an LHC experimental physics thesis. The cross section of the top quark pair production is detailed alongside with the reconstruction of the invariant masses of the top quark as well as of the $W$ and $Z$ bosons. The tutorial uses ideas and CMS open data files from the CMS HEP Tutorial written by C. Sander and A. Schmidt, but is entirely rewritten so that it can be run in Google Colab Cloud in a columnar style of analysis with python. In addition, a minimal C/C++ version of a simple event-loop analysis relying on ROOT is exampled. The code is kept as short as possible with emphasis on the transparency of the analysis steps, rather than the elegance of the software, having in mind that the students will in any case need to rewrite their own custom analysis framework.",http://arxiv.org/abs/2403.08907,https://arxiv.org/pdf/2403.08907v1,hep-ex,pdfs\2403.08907.pdf,QCD MC,mc,,,142,7,,,50/pb,Terascale Tutorial CMS Open Data,Cross section ~10^8 pb; 79160.5 weighted events with large statistical uncertainty; triggerIsoMu24 always true; from CMS HEP Tutorial
2201.07800,Analyzing N-point Energy Correlators Inside Jets with CMS Open Data,2022,,Patrick T. Komiske; Ian Moult; Jesse Thaler; Hua Xing Zhu,10.1103/PhysRevLett.130.051901,"Jets of hadrons produced at high-energy colliders provide experimental access to the dynamics of asymptotically free quarks and gluons and their confinement into hadrons. In this paper, we show that the high energies of the Large Hadron Collider (LHC), together with the exceptional resolution of its detectors, allow multipoint correlation functions of energy flow operators to be directly measured within jets for the first time. Using Open Data from the CMS experiment, we show that reformulating jet substructure in terms of these correlators provides new ways of probing the dynamics of QCD jets, which enables direct imaging of the confining transition to free hadrons as well as precision measurements of the scaling properties and interactions of quarks and gluons. This opens a new era in our understanding of jet substructure and illustrates the immense unexploited potential of high-quality LHC data sets for elucidating the dynamics of QCD.",http://arxiv.org/abs/2201.07800,https://arxiv.org/pdf/2201.07800v3,hep-ph,pdfs\2201.07800.pdf,CMS 2011A Open Data,data,/Jet/Run2011A-12Oct2013-v1/AOD,,,7,,,,N-point Energy Correlators CMS Analysis,"Reprocessed dataset from CMS 2011A Open Data converted to MIT Open Data (MOD) format; anti-kt algorithm with R=0.5; pT ∈ [500,550] GeV; |η| < 1.9; charged hadron subtraction (CHS); particle flow candidates with pT > 1 GeV; track-based observables for charged particles; CERN Open Data Portal record 10.7483/OPENDATA.CMS.UP77.P6PQ"
